student_id,name,grade_level,preferred_format,baseline_score
stu_d3245190,Jagat Vohra,Class 7,text,100
stu_f02539e1,Ishanvi Kanda,Class 9,video,54
stu_d9023877,Garima Loyal,Class 10,text,68
stu_16d79c47,Idika Bhasin,Class 10,video,73
stu_c28fc9ab,Oviya Deol,Class 6,text,81
stu_cd4a5f7e,Aarna Sahni,Class 10,text,69
stu_b55e0f9c,Thomas Shenoy,Class 8,video,55
stu_3d784e69,Vasana Roy,Class 6,text,52
stu_fae78606,Onkar Chaudhari,Class 7,video,87
stu_b01ad3c3,Zayan Karpe,Class 6,video,70
stu_fcebde4a,Yahvi Balan,Class 10,text,65
stu_b7ecb4f9,Zarna Cherian,Class 9,video,58
stu_c21cd4ee,Gunbir Sura,Class 9,video,73
stu_9b623604,Ekaja Venkataraman,Class 6,video,71
stu_b5542fe4,Manan Nagarajan,Class 10,text,48
stu_b8c628f3,Chatura Chatterjee,Class 6,text,53
stu_c01c95af,Vihaan Natt,Class 6,text,69
stu_b0d3a77b,Manya Kapur,Class 6,text,89
stu_8c01f501,Arunima Barman,Class 6,video,59
stu_0cc36386,Balvan Sibal,Class 7,text,80
stu_2412b0a9,Varsha Kulkarni,Class 10,video,76
stu_eb00a64c,Upasna Puri,Class 9,text,89
stu_0241f2be,Quincy Bhattacharyya,Class 9,text,83
stu_89506ff2,Ekaraj Merchant,Class 9,text,72
stu_1c309203,Yatan Bains,Class 9,video,83
stu_1b9711d3,Priya Roy,Class 7,video,59
stu_27435f67,Vidhi Sampath,Class 6,text,83
stu_154a260b,Priya Nath,Class 7,text,82
stu_bdeb3bff,Tamanna Merchant,Class 6,video,75
stu_4f63852a,Darika Chakraborty,Class 8,video,75
stu_7fcd8b25,Ekani Jhaveri,Class 7,video,74
stu_9aef40e7,Onveer Prakash,Class 10,video,76
stu_4696f4bf,Shivansh Deshpande,Class 8,text,54
stu_4a2f15d5,Turvi Ray,Class 7,video,82
stu_cc8ee428,Mahika Sastry,Class 6,video,47
stu_a5da7872,Andrew Mani,Class 9,video,44
stu_c505cc90,Lopa Samra,Class 9,text,81
stu_84fdd55b,Manya Banerjee,Class 9,video,58
stu_78b6a928,Imaran Yogi,Class 8,video,82
stu_66480413,Charles Dasgupta,Class 6,text,72
stu_90060d5c,Anusha Butala,Class 9,text,49
stu_5bc92c72,Janya Patla,Class 9,video,53
stu_11487114,Wazir Sengupta,Class 7,video,66
stu_69089672,Harini Thakur,Class 8,text,66
stu_497d48a3,Tarak Kurian,Class 9,video,67
stu_031a0c17,Vaishnavi Dave,Class 8,text,49
stu_ed35e02d,Bachittar Deo,Class 8,video,81
stu_fff76199,Kala Pillay,Class 6,text,86
stu_084733d4,Raagini Ganesan,Class 8,text,100
stu_a4a9a3e3,Rehaan Desai,Class 9,video,43
stu_95240626,Balvan Bava,Class 10,video,47
stu_ba9f802d,Hemani Chokshi,Class 6,video,70
stu_388eadb7,Faraj Gulati,Class 6,text,61
stu_3458fd30,Kashvi Varghese,Class 9,video,82
stu_ae169f5e,Warda Bail,Class 10,text,45
stu_344545ee,Viraj Bhandari,Class 6,video,96
stu_5e3f1357,Yashasvi Merchant,Class 7,video,58
stu_5ff85d17,Eiravati Kumer,Class 9,video,58
stu_c8fec9d0,Finn Bains,Class 8,video,46
stu_da05d23c,Nathaniel Master,Class 6,video,49
stu_b63632be,Shaurya Prashad,Class 10,text,70
stu_72c22976,Tejas Dhar,Class 9,text,76
stu_dc6f0b95,Ekavir Arya,Class 7,video,91
stu_40e53887,Pallavi Dash,Class 9,text,76
stu_6a2142f5,Harish Zacharia,Class 8,video,62
stu_821e21e4,Omya Mallick,Class 8,video,72
stu_70f20f93,Dipta Bhatti,Class 9,video,83
stu_4272625e,Eiravati Goyal,Class 6,video,51
stu_05e8af1d,Jalsa Thaman,Class 10,video,30
stu_7fd5b0e1,Anay Bhagat,Class 6,text,77
stu_47077c45,Indrajit Suresh,Class 8,video,62
stu_3400d46e,Osha Mahajan,Class 7,video,68
stu_b886b229,Bahadurjit Bedi,Class 6,text,64
stu_ac0a6d07,Anika Bhagat,Class 7,video,93
stu_3a26062e,Om Thaker,Class 6,text,78
stu_aadfd466,Yahvi Shroff,Class 7,video,61
stu_8505af79,Mugdha Mander,Class 9,video,61
stu_a06270f4,Samarth Bhat,Class 6,video,92
stu_d338af69,Dalaja Swamy,Class 6,video,44
stu_5f335bec,Vedhika Peri,Class 10,text,66
stu_5d117f82,Ishwar Karan,Class 7,video,71
stu_5c850cd9,Jai Doshi,Class 6,text,86
stu_65ce576a,Yuvraj Bhatia,Class 6,text,80
stu_655789d6,Ekavir Mahal,Class 8,video,61
stu_e989ae5a,Jagrati Kalita,Class 7,text,51
stu_7349aea8,Bhanumati Mannan,Class 9,text,88
stu_470d8a5e,Gaurangi Pandya,Class 8,video,65
stu_3e5796db,Onkar Nagar,Class 10,video,52
stu_48ae6a57,Harini Pau,Class 7,video,75
stu_65128b65,Ekaraj Kunda,Class 8,video,75
stu_5f662880,Sai Issac,Class 10,text,52
stu_3791aff1,Akshay Oommen,Class 7,video,78
stu_972dac25,Amol Tak,Class 9,video,40
stu_2d8a17dc,Girindra Viswanathan,Class 9,video,53
stu_dc69d307,Geetika Kala,Class 6,text,24
stu_d9791f82,Krishna Acharya,Class 6,text,67
stu_6774f7fc,Janya Rajagopalan,Class 7,text,63
stu_5a341623,Zehaan Chanda,Class 6,video,65
stu_b819aa5d,Gopal Gandhi,Class 9,video,99
stu_82f88415,Logan Walia,Class 7,video,92
stu_edc91c4f,Ekani Sami,Class 7,video,81
stu_725f47d0,Wazir Wagle,Class 6,text,41
stu_5a9b4ca0,Zaid Sibal,Class 7,video,78
stu_8c17f652,Dhruv Kapadia,Class 8,text,66
stu_ac62f24e,Udant Krishna,Class 9,video,71
stu_ad73d935,Finn Purohit,Class 9,text,62
stu_3d509564,Devika Murty,Class 6,video,72
stu_f21d5fd5,Pranav Peri,Class 9,text,84
stu_1f18b443,Jalsa Wadhwa,Class 7,text,58
stu_c37576f6,Benjamin Bath,Class 7,video,40
stu_24a8dd45,Madhavi Agate,Class 9,video,44
stu_f125f74d,Forum Pau,Class 9,text,77
stu_ec753deb,Falguni Dixit,Class 8,video,77
stu_182cd1d7,Meera Parsa,Class 8,video,61
stu_36dbd936,Eta Pillai,Class 9,video,68
stu_b8c80139,Indali Pal,Class 9,video,69
stu_2e0ce182,Manthan Kala,Class 7,video,51
stu_b540a55f,Bhavani Bobal,Class 9,video,58
stu_e3ef022e,Isaac Dugar,Class 10,video,66
stu_008cc18f,Nathaniel Borra,Class 10,text,63
stu_9a732210,Kashish Golla,Class 6,video,70
stu_1cc70117,Indrajit Rattan,Class 10,text,84
stu_da6a2d3c,Reyansh Sawhney,Class 7,video,81
stu_1caf5c75,Anthony Lal,Class 10,video,91
stu_9fcc0f4e,Lopa Yadav,Class 8,video,84
stu_8fcb9c31,Oni Chada,Class 10,video,46
stu_6806526b,Kashish Pau,Class 10,video,64
stu_7cd8395d,Jhalak Palan,Class 7,video,63
stu_dae2c9e2,Gavin Tella,Class 7,video,68
stu_a3518456,Faqid Shankar,Class 10,video,85
stu_112a3af0,Rajata Behl,Class 6,video,55
stu_1a0037ce,Rehaan Sharma,Class 10,video,21
stu_cd6845c8,Bhavya Nagi,Class 9,video,65
stu_583f1b71,Lohit Sarraf,Class 7,text,39
stu_7c5509ff,Chanakya Chhabra,Class 7,video,66
stu_d5cec12b,Hredhaan Gade,Class 7,text,76
stu_c5f38f71,Upasna Nayar,Class 10,video,90
stu_14357a7c,Charvi Pal,Class 7,video,64
stu_8853b194,Wriddhish Batta,Class 6,text,53
stu_20a133de,Neelima Mandal,Class 10,text,69
stu_c629b8f3,Banjeet Korpal,Class 8,text,100
stu_9bcd374a,Wishi Salvi,Class 8,video,50
stu_835ae6d7,Vritti Modi,Class 7,text,58
stu_11ea16c4,Abeer Borra,Class 7,text,67
stu_d4317acf,Amrita Sengupta,Class 10,text,74
stu_bcd0642c,Vasatika Parekh,Class 10,video,64
stu_015de8a3,Arin Thakkar,Class 10,text,54
stu_67e06942,Andrew Shanker,Class 7,video,77
stu_56b4a31e,Yagnesh Kumar,Class 9,video,65
stu_49625fd7,Oliver Babu,Class 7,video,64
stu_0ccd9ad9,Devika Kurian,Class 6,text,45
stu_358a7610,Pratyush Ratta,Class 10,video,70
stu_e1e8db85,Netra Shankar,Class 8,text,69
stu_30c31cd8,Bina Kapur,Class 10,video,48
stu_dcd19562,Ayush Prabhakar,Class 9,video,84
stu_f64f6e9f,Leela Banerjee,Class 8,video,74
stu_b75f42a0,Azaan Chakraborty,Class 10,text,78
stu_c3715095,Mohini Rai,Class 7,text,81
stu_fe427219,Fariq Bains,Class 8,video,56
stu_73f99057,Aadi Puri,Class 7,text,68
stu_0e9f44e1,Anjali Sampath,Class 10,video,69
stu_13646b1b,Mohammed Sarkar,Class 6,text,71
stu_a3642b76,Qabil Murty,Class 7,video,47
stu_e52b44ac,Brijesh Pingle,Class 7,video,92
stu_9f01b2ed,Qasim Ray,Class 6,video,65
stu_8fa03efb,Caleb Soman,Class 10,text,75
stu_4fd1ef31,Chanakya Singhal,Class 10,video,73
stu_d3c75a74,Bimala Naik,Class 9,video,64
stu_3c63e7d8,Wazir Prabhakar,Class 6,video,57
stu_60c7901d,Thomas Ram,Class 8,video,44
stu_87604ed0,Ucchal Bumb,Class 10,text,61
stu_47e8827a,Hemang Khanna,Class 9,text,53
stu_39b45daf,Indrajit Mann,Class 6,text,62
stu_c4f254cf,Chavvi Bhalla,Class 8,text,54
stu_c404ee4a,Irya Chakrabarti,Class 7,video,67
stu_dba3f592,Tristan Sarma,Class 6,text,86
stu_24ad90b9,Dayamai Sandhu,Class 8,video,68
stu_c7a6a912,Kevin Upadhyay,Class 8,video,100
stu_22c0caff,Jagrati Kashyap,Class 10,video,67
stu_d7464c70,Tanvi Khatri,Class 9,text,70
stu_f3171a2d,Imaran Shankar,Class 9,video,85
stu_2bcdf96d,Pushti Peri,Class 7,video,83
stu_dbd4e12b,Krisha Bhalla,Class 9,video,71
stu_612d9f62,Reva Chokshi,Class 10,video,54
stu_27ba58a0,Hamsini Lalla,Class 6,video,53
stu_5c547ddc,Champak Patil,Class 6,video,75
stu_ddab19d3,Parth Nagi,Class 6,video,73
stu_4c47738b,Girish Ghose,Class 6,video,54
stu_9134f169,Avi Mahal,Class 9,video,63
stu_4e3ac903,Vasana Pal,Class 9,video,73
stu_9ef6590f,Aayush Pandya,Class 7,video,51
stu_cd72bbb9,Bhavna Pai,Class 6,text,48
stu_d36a0090,Aradhana Venkatesh,Class 10,video,61
stu_f194595e,Siya Suri,Class 7,text,86
stu_e6fd93da,Pahal Dada,Class 9,video,61
stu_9a7a56a9,Madhavi Ratti,Class 6,video,80
stu_1c6f1e64,Dayamai Banik,Class 10,video,51
stu_e8240faf,Varenya Oommen,Class 9,video,53
stu_8c754e49,Nitara Apte,Class 9,video,69
stu_f1633837,Pushti Sant,Class 7,text,51
stu_c5de9d65,Quincy Natarajan,Class 6,video,33
stu_32a9423a,Saumya Tella,Class 7,video,51
stu_411d3139,Sanya Shetty,Class 7,video,60
stu_c316e02e,Ishwar Majumdar,Class 10,video,69
stu_e0f2370f,Raksha Sangha,Class 10,video,88
stu_4c2244a8,Indali Deol,Class 9,video,80
stu_a4367faf,Finn Shan,Class 10,video,73
stu_b6ade92c,Damyanti Kibe,Class 9,text,62
stu_5885ab9a,Brijesh Dada,Class 9,video,58
stu_0e5c3591,Nitara Ray,Class 6,text,56
stu_1e2018f4,Zaid Biswas,Class 9,video,74
stu_68213522,Sanaya Kala,Class 9,video,71
stu_5cb8d90f,Ikshita Rege,Class 6,text,74
stu_2e1f0a1e,Irya Narain,Class 7,video,60
stu_59c3ee18,Sai Maharaj,Class 7,video,46
stu_3dbd23a4,Finn Doshi,Class 9,video,61
stu_d9f9e9e4,Falak Rout,Class 8,video,42
stu_4be967be,Chatura Hayre,Class 7,text,33
stu_43609e2a,Ekavir Amble,Class 6,video,78
stu_0012250f,Samarth Bhat,Class 9,video,81
stu_bd061739,Qadim Verma,Class 9,video,69
stu_1e665bee,Sathvik Varkey,Class 7,video,66
stu_1c3e7273,Vedant Ganesan,Class 10,video,57
stu_2050fcd2,Chavvi Kulkarni,Class 9,video,76
stu_eaf04ab7,Agastya Venkatesh,Class 10,video,50
stu_d2568598,Shivansh Nath,Class 9,video,64
stu_f878e0e6,Dominic Walia,Class 6,video,59
stu_04c122cb,Hemal Vohra,Class 9,video,61
stu_84f8e230,Alka Bal,Class 7,video,64
stu_74c69620,Aarav Johal,Class 8,text,72
stu_80d9adfe,Oviya Borah,Class 10,video,87
stu_d49abd0e,Karan Bala,Class 8,video,86
stu_f530b968,Hiral Sachdeva,Class 8,video,75
stu_7769266d,Victor Narasimhan,Class 9,video,62
stu_f895c365,Azaan Mangal,Class 8,text,56
stu_2056ac9c,Hardik Sengupta,Class 10,video,60
stu_ca7f6bde,Rushil Khare,Class 6,video,66
stu_7e78b5d0,Mohini Yogi,Class 7,video,42
stu_2bb5fb24,Brinda Bhattacharyya,Class 10,video,88
stu_0925a09c,Shravya Dora,Class 7,video,87
stu_9dabcdb2,Dakshesh Raju,Class 10,text,58
stu_77700375,Yashica Peri,Class 7,text,87
stu_0f5335f3,Balveer Varughese,Class 9,video,92
stu_150d15bb,Kabir Chacko,Class 6,video,51
stu_575a3f4a,Gaurika Murthy,Class 10,video,79
stu_b0d5e0bd,Bimala Raman,Class 9,video,91
stu_df467f45,Nicholas Nanda,Class 7,video,76
stu_de880b0c,Vritti Mand,Class 9,video,65
stu_edf91768,Ayaan Gokhale,Class 10,video,43
stu_1fe4c5cb,Imaran Parmar,Class 7,video,53
stu_c1e5f70b,Yutika Mohanty,Class 7,video,61
stu_f7913cd8,Ojas Patil,Class 6,video,67
stu_8a29f01c,Harinakshi Mittal,Class 10,text,50
stu_692ad26f,Yatan Master,Class 9,text,59
stu_3cb083a9,Advik Deol,Class 8,video,73
stu_bd5f66f1,Aayush Kulkarni,Class 6,video,59
stu_8f09a239,Yauvani Bahl,Class 7,text,82
stu_2b12b9c1,Eshana Sheth,Class 10,video,61
stu_ef4ab817,Guneet Raja,Class 6,video,82
stu_05f5c5dc,Finn Master,Class 10,video,50
stu_456f2e7a,Harsh Ganesan,Class 10,video,48
stu_b22b2d1b,Gayathri Pant,Class 6,video,57
stu_bf19ce91,Aarnav Chawla,Class 7,text,60
stu_9f5e662f,Ijaya Deol,Class 10,text,53
stu_8e85cc8b,Libni Mangat,Class 8,video,60
stu_d4dde18a,Idika Kumer,Class 9,video,69
stu_188f81e5,Vivaan Bumb,Class 6,text,80
stu_5aa91adf,Kamala Saini,Class 6,video,82
stu_9a195d1d,Vaishnavi Mishra,Class 9,video,59
stu_6583839e,Vamakshi Chander,Class 8,text,57
stu_4bdbdb1e,Gaurangi Jayaraman,Class 8,video,46
stu_d4f8fde0,Anamika Singh,Class 9,video,35
stu_311ec4fc,Meghana Balasubramanian,Class 6,video,59
stu_57c85f39,Ishanvi Sandal,Class 8,video,75
stu_c8fb1d6b,Tamanna Srinivas,Class 6,video,66
stu_c10261be,Amol Sharaf,Class 10,text,83
stu_65eb2865,Rajata Kanda,Class 9,video,60
stu_c44c1be5,Ridhi Tella,Class 10,video,44
stu_e51388b3,Nachiket Soman,Class 8,video,58
stu_8d93d9df,Maya Bhat,Class 8,text,67
stu_c992a7fe,Abhiram Pandit,Class 7,video,49
stu_37464587,Faraj Kibe,Class 8,video,69
stu_317f7b9a,Ryan Nori,Class 8,video,53
stu_9c6e82b8,Mahika Behl,Class 9,video,81
stu_5a5c7ad7,Omaja Oommen,Class 6,text,58
stu_ce9ec043,Ekbal Sant,Class 9,video,93
stu_d2efdc11,Amrita Dara,Class 7,video,68
stu_a407a2be,Forum Mutti,Class 8,text,67
stu_cd26cc22,Deepa Oza,Class 8,video,59
stu_33d9bfb5,Aditya Vaidya,Class 10,video,69
stu_c49efc13,Forum Mutti,Class 9,text,83
stu_501fb363,Panini Tank,Class 8,video,41
stu_cc8ab9e3,Pallavi Dara,Class 10,video,85
stu_cd033756,Ijaya Gokhale,Class 6,text,63
stu_c98eeef5,Ekavir Chaudhry,Class 8,text,96
stu_657be725,Wakeeta Raju,Class 8,video,66
stu_0f54ff66,Lakshit Prabhu,Class 9,video,37
stu_99137a46,Manthan Kapoor,Class 9,video,45
stu_a4634df1,Sathvik Issac,Class 8,video,78
stu_de602fff,Indali Kant,Class 10,text,67
stu_4eb92bbd,Kamala Murty,Class 7,video,70
stu_94a0f267,Girish Mandal,Class 6,video,100
stu_bfba47a3,Champak Khalsa,Class 7,text,64
stu_f2cf19d1,Ishwar Chaudhuri,Class 10,video,82
stu_57632a2c,Nandini Baria,Class 6,video,70
stu_038f361e,Suhani Borra,Class 7,video,84
stu_5418eaad,Agastya Kari,Class 9,video,69
stu_e9bc1f84,Krish Munshi,Class 9,video,74
stu_884e6d5d,Om Shanker,Class 8,video,72
stu_c0b23868,Jagrati Issac,Class 6,video,85
stu_927619b2,Osha Borde,Class 7,video,49
stu_641ac7fb,Aadhya Tank,Class 10,text,46
stu_d1d041c1,Dalaja Baria,Class 7,video,88
stu_5a4cbee0,Yamini Jani,Class 8,video,90
stu_503ae653,Neha Morar,Class 10,video,85
stu_6ffebdd4,Wyatt Swamy,Class 8,text,90
stu_ebe1c26e,Darika Nagarajan,Class 10,video,39
stu_22b1555c,Indali Behl,Class 6,video,38
stu_0e797ae0,Oni Dube,Class 8,video,61
stu_28cb1880,Ekaja Vig,Class 8,video,66
stu_d3b95733,Watika Pau,Class 7,video,92
stu_d47bfa7f,Upma Singh,Class 7,text,77
stu_4738c58c,Nimrat Vyas,Class 8,video,64
stu_5cc27b01,Rishi Sood,Class 9,video,65
stu_f7e1e99d,Chavvi De,Class 7,video,68
stu_9ab8c6fe,Chameli Bhardwaj,Class 6,video,62
stu_2de9bde5,Balvan Acharya,Class 8,video,72
stu_1d112579,Aadhya Bala,Class 6,video,52
stu_64749063,Mohini Goyal,Class 6,video,79
stu_4d335f7d,Rohan Sekhon,Class 6,text,49
stu_8e79c543,Advaith Dugal,Class 8,text,77
stu_a7af57e5,Warinder Bhavsar,Class 7,video,61
stu_230e4d0f,Mohammed Nanda,Class 6,video,59
stu_0dcacf75,Isaiah Chahal,Class 6,video,80
stu_e6cdbc50,Janani Luthra,Class 10,text,52
stu_8ec41f0c,Rachit Palla,Class 7,video,57
stu_0bb4de17,Ira Basak,Class 9,video,56
stu_4ef7fa3a,Yashoda Bawa,Class 8,video,59
stu_afdc927e,Diya Sunder,Class 7,video,64
stu_deea2462,Diya Patel,Class 10,video,61
stu_31f06927,Krish Bawa,Class 9,video,84
stu_9fc2e0a9,Urvi Khurana,Class 7,video,49
stu_1296f6bd,Shivansh Buch,Class 9,text,48
stu_6c43d53a,Ronith Bhakta,Class 7,video,70
stu_c516f5ea,Ekapad Hayre,Class 7,video,65
stu_b7d3a68e,Yatin Nagi,Class 9,video,72
stu_e516994f,Wridesh Bhagat,Class 8,video,63
stu_10a1d4c5,Ethan Ahuja,Class 8,text,93
stu_8deeb2fd,Atharv Sampath,Class 9,video,75
stu_3b1b4d39,Sathvik Prasad,Class 7,video,70
stu_851dbff6,Niharika Pathak,Class 7,video,92
stu_6f3caebf,Isaiah Oommen,Class 7,video,44
stu_bd3ba41a,Ucchal Jayaraman,Class 8,video,45
stu_452774da,Gaurav Dhar,Class 10,video,61
stu_4832d308,Aradhana Karan,Class 8,video,94
stu_2d8b885b,Neel Patil,Class 10,video,99
stu_7eca225b,Viraj Pillay,Class 8,video,75
stu_0fd2c0be,Liam Nori,Class 10,video,75
stu_ce196707,Chatresh Radhakrishnan,Class 10,text,74
stu_d3846ae4,Kala Raja,Class 6,video,42
stu_072a3343,Divya Halder,Class 6,video,76
stu_d034c134,Avni Randhawa,Class 6,video,59
stu_19bea884,Samarth Butala,Class 6,video,72
stu_4ad9dee9,Girindra Bail,Class 7,text,72
stu_b38c032f,Lakshit Mistry,Class 8,text,78
stu_8b320f9f,George Chada,Class 7,video,93
stu_46cb577a,Jalsa Kibe,Class 9,video,55
stu_f2ea1a63,Lajita Ben,Class 7,text,68
stu_e94be333,Aarush Savant,Class 7,video,59
stu_c78727a1,Aashi Chadha,Class 9,text,52
stu_c01b0c2a,Umang Mall,Class 9,video,72
stu_30b94f6c,Mekhala Bali,Class 8,text,61
stu_6452277f,Zayyan Patla,Class 7,video,72
stu_56c9224b,Abdul Natt,Class 7,video,49
stu_90665b30,Yadavi Loke,Class 7,video,70
stu_3b3084fc,Radhika Pathak,Class 7,video,53
stu_1d59837a,Yachana Wagle,Class 10,video,66
stu_21023f5e,Farhan Mody,Class 7,video,57
stu_703f1966,Kala Sarma,Class 9,video,96
stu_635d9b77,David Dara,Class 9,text,75
stu_9ecc1c22,Vasana Buch,Class 8,video,82
stu_5c9cdf1a,Devansh Deshmukh,Class 7,video,64
stu_4a68f9bc,Arin Jani,Class 7,text,70
stu_2893e1ee,Yamini Varghese,Class 9,video,67
stu_5ebf5fc3,Eesha Shroff,Class 10,video,56
stu_6acdd771,Ladli Banik,Class 6,video,59
stu_89ee53a6,Ronith Bhandari,Class 9,video,58
stu_94339125,Vedant Narula,Class 10,video,58
stu_69e46b3f,Jairaj Naidu,Class 6,video,74
stu_f068b022,Aachal Khare,Class 8,text,77
stu_2e58ee1d,Chakrika Misra,Class 7,video,49
stu_9dec87a1,Prisha Mani,Class 8,video,77
stu_330739d3,Jyoti Choudhary,Class 6,video,96
stu_1f555540,Luke Warrior,Class 8,text,66
stu_72353afa,Tanish Sathe,Class 10,video,92
stu_0e365f2f,Yamini Purohit,Class 7,video,61
stu_5d70f4ec,Eta Kota,Class 8,video,67
stu_891c6b82,Udyati Chowdhury,Class 9,text,65
stu_7f506ed8,Ria Mall,Class 7,video,73
stu_09600aa9,Vincent Toor,Class 8,video,54
stu_1617fc41,Udarsh Wagle,Class 10,text,74
stu_0cfafbf3,Chatresh Shukla,Class 10,text,54
stu_2c26feed,Yashica Pant,Class 8,video,78
stu_2db2bbd5,Anay Dyal,Class 7,video,66
stu_3c4b032e,Rachit Kadakia,Class 6,text,78
stu_36228aa4,Dalaja Walla,Class 7,video,65
stu_d08c6fbd,Daniel Sundaram,Class 8,text,73
stu_ff53a9fa,Gopal Kohli,Class 6,video,68
stu_1899a2b7,Balhaar Bedi,Class 9,text,79
stu_46b06be0,Mitali Dubey,Class 6,video,74
stu_745053e1,Rayaan Panchal,Class 10,text,77
stu_30ee0cff,Wahab Yogi,Class 7,video,49
stu_d4e9da87,Hardik Mangat,Class 8,video,37
stu_c12f0bce,Sathvik Pingle,Class 7,video,68
stu_c24c2f2c,Vedant Pathak,Class 8,text,91
stu_d02d5977,Krisha Vig,Class 10,video,67
stu_0d19b3d7,Onkar Suresh,Class 7,video,64
stu_92480094,Ojas Bahri,Class 6,text,60
stu_aacfb030,Hritik Mohanty,Class 6,video,55
stu_373f0a2d,Shivansh Mukhopadhyay,Class 7,video,55
stu_5c5d57b6,Ishwar Chauhan,Class 6,video,58
stu_526a7dcb,Peter Venkataraman,Class 8,text,71
stu_3ed5712a,Abhiram Sarkar,Class 9,text,60
stu_7d782a9d,Caleb Morar,Class 7,video,28
stu_b9ad37ec,Wriddhish Sampath,Class 8,video,80
stu_954988d6,Dhruv Maharaj,Class 6,video,88
stu_f231f27f,Alexander Walla,Class 9,text,65
stu_2ed43221,Diya Taneja,Class 7,video,55
stu_c0a7cc6d,Upasna Bhakta,Class 9,video,68
stu_ff4e7ab2,Dakshesh Loyal,Class 8,video,76
stu_53065dc9,Harinakshi Pai,Class 8,text,75
stu_e4bf6b5c,Janaki Nath,Class 10,video,85
stu_8c23a909,Brijesh Khanna,Class 6,video,77
stu_87ae9c2e,Wriddhish Mukhopadhyay,Class 7,video,83
stu_bf997a03,Yash Bhavsar,Class 8,video,73
stu_e26a1f23,Qasim Hayer,Class 6,video,42
stu_22626d72,Ranveer Srinivas,Class 8,video,57
stu_5040ba58,Jeremiah Narasimhan,Class 10,video,41
stu_a9a315ca,Falan Konda,Class 7,video,67
stu_dbb7ebc7,Chatura Chokshi,Class 8,text,78
stu_166a8260,Turvi Sharaf,Class 10,video,64
stu_e96b2d69,Oliver Devi,Class 6,video,93
stu_2a05a630,Aachal Sem,Class 9,video,95
stu_46dd8b09,Lekha Garde,Class 9,video,88
stu_675a3a0b,Vasatika Roy,Class 6,video,37
stu_30f377a7,Widisha Kothari,Class 10,text,90
stu_514d36b9,Gaurang Bansal,Class 8,video,69
stu_f3f3bfbe,Bakhshi Sathe,Class 10,video,50
stu_6ad21fce,Jonathan Raj,Class 10,video,77
stu_1996748b,Kalpit Aurora,Class 6,video,65
stu_73bd24ae,Vaishnavi Vyas,Class 6,video,89
stu_de97ee85,Jalsa Sengupta,Class 8,video,84
stu_28430bb2,Vamakshi Sanghvi,Class 10,video,78
stu_87cc3f08,Shivani Grewal,Class 8,video,66
stu_f244a17c,Balhaar Kumar,Class 8,text,61
stu_a59e99c5,Anirudh Ramakrishnan,Class 6,video,80
stu_c0e12380,Chatura Bhatti,Class 8,text,49
stu_b54a3df5,Rudra Srinivas,Class 8,video,86
stu_e865c60e,Jagdish Palla,Class 8,video,46
stu_3a0cf4f0,Ishwar Sarin,Class 10,video,47
stu_a9f44836,Jyoti Bhattacharyya,Class 10,text,46
stu_83515f1e,Jonathan Jaggi,Class 6,video,92
stu_d655c944,Manan Tara,Class 9,text,55
stu_4613743e,Madhavi Contractor,Class 8,video,92
stu_d8356990,Yoshita Sagar,Class 8,video,57
stu_5d207dd8,Balhaar Saxena,Class 7,video,62
stu_f61f6168,Zaitra Tak,Class 8,video,55
stu_13f7185e,Girish Parikh,Class 8,text,68
stu_444713da,Darika Bhattacharyya,Class 10,video,59
stu_10908f2a,Ishita Nair,Class 9,video,63
stu_5e02548a,Farhan Swaminathan,Class 8,video,54
stu_f29286f2,Charita Sinha,Class 8,video,82
stu_a9997eb8,Wishi Sinha,Class 9,video,100
stu_8638ff1f,Yadavi Sanghvi,Class 8,text,71
stu_8e527e67,Pavani Shetty,Class 9,text,67
stu_3922fd90,Ijaya Chada,Class 9,video,47
stu_577e7d25,Shravya Rajagopal,Class 8,text,69
stu_c6ceee44,Karan Sankaran,Class 9,video,68
stu_d609ca2f,Robert Lala,Class 6,video,84
stu_d48d2de3,Vaishnavi Das,Class 8,video,97
stu_81772321,Tara Srinivas,Class 10,video,72
stu_efb1de3c,Baljiwan Gala,Class 6,video,65
stu_bba46fd1,Januja Garg,Class 10,video,53
stu_082bd9d8,Lohit Nayak,Class 8,video,75
stu_2fe2b650,Aarush Sundaram,Class 7,video,73
stu_e729012c,Ridhi Mohan,Class 10,video,47
stu_cbc5b3ce,Deepa Manne,Class 10,video,86
stu_f44500ca,Rachita Nadig,Class 7,text,65
stu_2d705786,Rudra Choudhury,Class 7,video,38
stu_bb861caf,Isha Dutt,Class 9,text,69
stu_edf5e770,Aayush Iyengar,Class 8,video,42
stu_973856c0,Atharv Ahluwalia,Class 9,video,54
stu_a43242d6,Dalaja Ranganathan,Class 6,video,67
stu_2ca1948e,Hema Gola,Class 9,video,99
stu_00be23ea,Sachi Kaur,Class 6,video,89
stu_94455d6a,Om Mistry,Class 10,text,93
stu_fe525b70,Yug Gulati,Class 7,video,90
stu_fecad5be,Chakradhar Srinivasan,Class 9,video,100
stu_72aff533,Simon Seth,Class 6,video,64
stu_763f3388,Ekanta Balakrishnan,Class 8,text,59
stu_76800125,Frado Parekh,Class 10,video,71
stu_6f7425fc,Chaitaly Rajagopal,Class 7,video,69
stu_034256b3,Ayushman Dara,Class 8,video,82
stu_141fae23,Chandran Koshy,Class 7,video,48
